Periodo,Anio,Trimestre,Region,Categoria_Norm,Valor,Valor_Anterior,Valor_Trimestral
2023-Q4,2023,4,AND,HURTOS,95607.0,72221.0,23386.0
2024-Q1,2024,1,AND,HURTOS,21392.0,,21392.0
2024-Q2,2024,2,AND,HURTOS,45725.0,21392.0,24333.0
2024-Q3,2024,3,AND,HURTOS,70484.0,45725.0,24759.0
2024-Q4,2024,4,AND,HURTOS,92545.0,70484.0,22061.0
2025-Q1,2025,1,AND,HURTOS,20614.0,,20614.0
2025-Q2,2025,2,AND,HURTOS,43262.0,20614.0,22648.0
2025-Q3,2025,3,AND,HURTOS,67111.0,43262.0,23849.0
2017-Q1,2017,1,AND,ROBOS_FUERZA,6918.0,,6918.0
2017-Q2,2017,2,AND,ROBOS_FUERZA,13015.0,6918.0,6097.0
2017-Q3,2017,3,AND,ROBOS_FUERZA,19005.0,13015.0,5990.0
2017-Q4,2017,4,AND,ROBOS_FUERZA,24718.0,19005.0,5713.0
2018-Q1,2018,1,AND,ROBOS_FUERZA,6285.0,,6285.0
2018-Q2,2018,2,AND,ROBOS_FUERZA,11757.0,6285.0,5472.0
2018-Q3,2018,3,AND,ROBOS_FUERZA,17425.0,11757.0,5668.0
2018-Q4,2018,4,AND,ROBOS_FUERZA,23032.0,17425.0,5607.0
2019-Q1,2019,1,AND,ROBOS_FUERZA,5729.0,,5729.0
2019-Q2,2019,2,AND,ROBOS_FUERZA,11042.0,5729.0,5313.0
2019-Q3,2019,3,AND,ROBOS_FUERZA,16572.0,11042.0,5530.0
2019-Q4,2019,4,AND,ROBOS_FUERZA,22455.0,16572.0,5883.0
2020-Q1,2020,1,AND,ROBOS_FUERZA,5188.0,,5188.0
2020-Q2,2020,2,AND,ROBOS_FUERZA,8286.0,5188.0,3098.0
2020-Q3,2020,3,AND,ROBOS_FUERZA,13426.0,8286.0,5140.0
2020-Q4,2020,4,AND,ROBOS_FUERZA,17567.0,13426.0,4141.0
2021-Q1,2021,1,AND,ROBOS_FUERZA,3658.0,,3658.0
2021-Q2,2021,2,AND,ROBOS_FUERZA,7458.0,3658.0,3800.0
2021-Q3,2021,3,AND,ROBOS_FUERZA,12029.0,7458.0,4571.0
2021-Q4,2021,4,AND,ROBOS_FUERZA,16381.0,12029.0,4352.0
2022-Q1,2022,1,AND,ROBOS_FUERZA,4404.0,,4404.0
2022-Q2,2022,2,AND,ROBOS_FUERZA,9181.0,4404.0,4777.0
2022-Q3,2022,3,AND,ROBOS_FUERZA,14117.0,9181.0,4936.0
2022-Q4,2022,4,AND,ROBOS_FUERZA,18734.0,14117.0,4617.0
2023-Q1,2023,1,AND,ROBOS_FUERZA,4946.0,,4946.0
2023-Q2,2023,2,AND,ROBOS_FUERZA,9650.0,4946.0,4704.0
2023-Q3,2023,3,AND,ROBOS_FUERZA,15087.0,9650.0,5437.0
2023-Q4,2023,4,AND,ROBOS_FUERZA,20266.0,15087.0,5179.0
2024-Q1,2024,1,AND,ROBOS_FUERZA,4785.0,,4785.0
2024-Q2,2024,2,AND,ROBOS_FUERZA,9213.0,4785.0,4428.0
2024-Q3,2024,3,AND,ROBOS_FUERZA,13910.0,9213.0,4697.0
2024-Q4,2024,4,AND,ROBOS_FUERZA,18231.0,13910.0,4321.0
2025-Q1,2025,1,AND,ROBOS_FUERZA,4138.0,,4138.0
2025-Q2,2025,2,AND,ROBOS_FUERZA,7925.0,4138.0,3787.0
2025-Q3,2025,3,AND,ROBOS_FUERZA,11906.0,7925.0,3981.0
2016-Q1,2016,1,ARA,HURTOS,2952.0,,2952.0
2016-Q2,2016,2,ARA,HURTOS,5954.0,2952.0,3002.0
2016-Q3,2016,3,ARA,HURTOS,8720.0,5954.0,2766.0
2016-Q4,2016,4,ARA,HURTOS,11952.0,8720.0,3232.0
2017-Q1,2017,1,ARA,HURTOS,2965.0,,2965.0
2017-Q2,2017,2,ARA,HURTOS,5594.0,2965.0,2629.0
2017-Q3,2017,3,ARA,HURTOS,8098.0,5594.0,2504.0
2017-Q4,2017,4,ARA,HURTOS,11004.0,8098.0,2906.0
2018-Q1,2018,1,ARA,HURTOS,2406.0,,2406.0
2018-Q2,2018,2,ARA,HURTOS,4832.0,2406.0,2426.0
2018-Q3,2018,3,ARA,HURTOS,7384.0,4832.0,2552.0
2018-Q4,2018,4,ARA,HURTOS,10629.0,7384.0,3245.0
2019-Q1,2019,1,ARA,HURTOS,2682.0,,2682.0
2019-Q2,2019,2,ARA,HURTOS,5198.0,2682.0,2516.0
2019-Q3,2019,3,ARA,HURTOS,7515.0,5198.0,2317.0
2019-Q4,2019,4,ARA,HURTOS,10514.0,7515.0,2999.0
2020-Q1,2020,1,ARA,HURTOS,2091.0,,2091.0
2020-Q2,2020,2,ARA,HURTOS,3069.0,2091.0,978.0
2020-Q3,2020,3,ARA,HURTOS,4969.0,3069.0,1900.0
2020-Q4,2020,4,ARA,HURTOS,6761.0,4969.0,1792.0
2021-Q1,2021,1,ARA,HURTOS,1770.0,,1770.0
2021-Q2,2021,2,ARA,HURTOS,3849.0,1770.0,2079.0
2021-Q3,2021,3,ARA,HURTOS,6154.0,3849.0,2305.0
2021-Q4,2021,4,ARA,HURTOS,8925.0,6154.0,2771.0
2022-Q1,2022,1,ARA,HURTOS,2622.0,,2622.0
2022-Q2,2022,2,ARA,HURTOS,5252.0,2622.0,2630.0
2022-Q3,2022,3,ARA,HURTOS,7357.0,5252.0,2105.0
2022-Q4,2022,4,ARA,HURTOS,10678.0,7357.0,3321.0
2023-Q1,2023,1,ARA,HURTOS,2579.0,,2579.0
2023-Q2,2023,2,ARA,HURTOS,4831.0,2579.0,2252.0
2023-Q3,2023,3,ARA,HURTOS,7055.0,4831.0,2224.0
2023-Q4,2023,4,ARA,HURTOS,9934.0,7055.0,2879.0
2024-Q1,2024,1,ARA,HURTOS,2821.0,,2821.0
2024-Q2,2024,2,ARA,HURTOS,5629.0,2821.0,2808.0
2024-Q3,2024,3,ARA,HURTOS,8379.0,5629.0,2750.0
2024-Q4,2024,4,ARA,HURTOS,11686.0,8379.0,3307.0
2025-Q1,2025,1,ARA,HURTOS,2972.0,,2972.0
2025-Q2,2025,2,ARA,HURTOS,5750.0,2972.0,2778.0
2025-Q3,2025,3,ARA,HURTOS,8712.0,5750.0,2962.0
2017-Q1,2017,1,ARA,ROBOS_FUERZA,682.0,,682.0
2017-Q2,2017,2,ARA,ROBOS_FUERZA,1311.0,682.0,629.0
2017-Q3,2017,3,ARA,ROBOS_FUERZA,1921.0,1311.0,610.0
2017-Q4,2017,4,ARA,ROBOS_FUERZA,2555.0,1921.0,634.0
2018-Q1,2018,1,ARA,ROBOS_FUERZA,618.0,,618.0
2018-Q2,2018,2,ARA,ROBOS_FUERZA,1193.0,618.0,575.0
2018-Q3,2018,3,ARA,ROBOS_FUERZA,1794.0,1193.0,601.0
2018-Q4,2018,4,ARA,ROBOS_FUERZA,2498.0,1794.0,704.0
2019-Q1,2019,1,ARA,ROBOS_FUERZA,598.0,,598.0
2019-Q2,2019,2,ARA,ROBOS_FUERZA,1233.0,598.0,635.0
2019-Q3,2019,3,ARA,ROBOS_FUERZA,1774.0,1233.0,541.0
2019-Q4,2019,4,ARA,ROBOS_FUERZA,2348.0,1774.0,574.0
2020-Q1,2020,1,ARA,ROBOS_FUERZA,488.0,,488.0
2020-Q2,2020,2,ARA,ROBOS_FUERZA,804.0,488.0,316.0
2020-Q3,2020,3,ARA,ROBOS_FUERZA,1396.0,804.0,592.0
2020-Q4,2020,4,ARA,ROBOS_FUERZA,1887.0,1396.0,491.0
2021-Q1,2021,1,ARA,ROBOS_FUERZA,413.0,,413.0
2021-Q2,2021,2,ARA,ROBOS_FUERZA,876.0,413.0,463.0
2021-Q3,2021,3,ARA,ROBOS_FUERZA,1454.0,876.0,578.0
2021-Q4,2021,4,ARA,ROBOS_FUERZA,2034.0,1454.0,580.0
2022-Q1,2022,1,ARA,ROBOS_FUERZA,643.0,,643.0
2022-Q2,2022,2,ARA,ROBOS_FUERZA,1217.0,643.0,574.0
2022-Q3,2022,3,ARA,ROBOS_FUERZA,1746.0,1217.0,529.0
2022-Q4,2022,4,ARA,ROBOS_FUERZA,2404.0,1746.0,658.0
2023-Q1,2023,1,ARA,ROBOS_FUERZA,759.0,,759.0
2023-Q2,2023,2,ARA,ROBOS_FUERZA,1307.0,759.0,548.0
2023-Q3,2023,3,ARA,ROBOS_FUERZA,1899.0,1307.0,592.0
2023-Q4,2023,4,ARA,ROBOS_FUERZA,2654.0,1899.0,755.0
2024-Q1,2024,1,ARA,ROBOS_FUERZA,769.0,,769.0
2024-Q2,2024,2,ARA,ROBOS_FUERZA,1335.0,769.0,566.0
2024-Q3,2024,3,ARA,ROBOS_FUERZA,1943.0,1335.0,608.0
2024-Q4,2024,4,ARA,ROBOS_FUERZA,2612.0,1943.0,669.0
2025-Q1,2025,1,ARA,ROBOS_FUERZA,546.0,,546.0
2025-Q2,2025,2,ARA,ROBOS_FUERZA,1048.0,546.0,502.0
2025-Q3,2025,3,ARA,ROBOS_FUERZA,1533.0,1048.0,485.0
2016-Q1,2016,1,AST,HURTOS,1820.0,,1820.0
2016-Q2,2016,2,AST,HURTOS,3655.0,1820.0,1835.0
2016-Q3,2016,3,AST,HURTOS,5768.0,3655.0,2113.0
2016-Q4,2016,4,AST,HURTOS,7640.0,5768.0,1872.0
2017-Q1,2017,1,AST,HURTOS,1774.0,,1774.0
2017-Q2,2017,2,AST,HURTOS,3618.0,1774.0,1844.0
2017-Q3,2017,3,AST,HURTOS,5518.0,3618.0,1900.0
2017-Q4,2017,4,AST,HURTOS,7261.0,5518.0,1743.0
2018-Q1,2018,1,AST,HURTOS,1636.0,,1636.0
2018-Q2,2018,2,AST,HURTOS,3349.0,1636.0,1713.0
2018-Q3,2018,3,AST,HURTOS,5392.0,3349.0,2043.0
2018-Q4,2018,4,AST,HURTOS,7209.0,5392.0,1817.0
2019-Q1,2019,1,AST,HURTOS,1726.0,,1726.0
2019-Q2,2019,2,AST,HURTOS,3420.0,1726.0,1694.0
2019-Q3,2019,3,AST,HURTOS,5161.0,3420.0,1741.0
2019-Q4,2019,4,AST,HURTOS,6788.0,5161.0,1627.0
2020-Q1,2020,1,AST,HURTOS,1359.0,,1359.0
2020-Q2,2020,2,AST,HURTOS,1923.0,1359.0,564.0
2020-Q3,2020,3,AST,HURTOS,3221.0,1923.0,1298.0
2020-Q4,2020,4,AST,HURTOS,4143.0,3221.0,922.0
2021-Q1,2021,1,AST,HURTOS,888.0,,888.0
2021-Q2,2021,2,AST,HURTOS,1917.0,888.0,1029.0
2021-Q3,2021,3,AST,HURTOS,3273.0,1917.0,1356.0
2021-Q4,2021,4,AST,HURTOS,4705.0,3273.0,1432.0
2022-Q1,2022,1,AST,HURTOS,1510.0,,1510.0
2022-Q2,2022,2,AST,HURTOS,3078.0,1510.0,1568.0
2022-Q3,2022,3,AST,HURTOS,4964.0,3078.0,1886.0
2022-Q4,2022,4,AST,HURTOS,6816.0,4964.0,1852.0
2023-Q1,2023,1,AST,HURTOS,1770.0,,1770.0
2023-Q2,2023,2,AST,HURTOS,3572.0,1770.0,1802.0
2023-Q3,2023,3,AST,HURTOS,5731.0,3572.0,2159.0
2023-Q4,2023,4,AST,HURTOS,7688.0,5731.0,1957.0
2024-Q1,2024,1,AST,HURTOS,1895.0,,1895.0
2024-Q2,2024,2,AST,HURTOS,3800.0,1895.0,1905.0
2024-Q3,2024,3,AST,HURTOS,5805.0,3800.0,2005.0
2024-Q4,2024,4,AST,HURTOS,7727.0,5805.0,1922.0
2025-Q1,2025,1,AST,HURTOS,1935.0,,1935.0
2025-Q2,2025,2,AST,HURTOS,3702.0,1935.0,1767.0
2025-Q3,2025,3,AST,HURTOS,5973.0,3702.0,2271.0
2017-Q1,2017,1,AST,ROBOS_FUERZA,453.0,,453.0
2017-Q2,2017,2,AST,ROBOS_FUERZA,862.0,453.0,409.0
2017-Q3,2017,3,AST,ROBOS_FUERZA,1325.0,862.0,463.0
2017-Q4,2017,4,AST,ROBOS_FUERZA,1737.0,1325.0,412.0
2018-Q1,2018,1,AST,ROBOS_FUERZA,431.0,,431.0
2018-Q2,2018,2,AST,ROBOS_FUERZA,754.0,431.0,323.0
2018-Q3,2018,3,AST,ROBOS_FUERZA,1094.0,754.0,340.0
2018-Q4,2018,4,AST,ROBOS_FUERZA,1488.0,1094.0,394.0
2019-Q1,2019,1,AST,ROBOS_FUERZA,417.0,,417.0
2019-Q2,2019,2,AST,ROBOS_FUERZA,751.0,417.0,334.0
2019-Q3,2019,3,AST,ROBOS_FUERZA,1108.0,751.0,357.0
2019-Q4,2019,4,AST,ROBOS_FUERZA,1563.0,1108.0,455.0
2020-Q1,2020,1,AST,ROBOS_FUERZA,374.0,,374.0
2020-Q2,2020,2,AST,ROBOS_FUERZA,528.0,374.0,154.0
2020-Q3,2020,3,AST,ROBOS_FUERZA,898.0,528.0,370.0
2020-Q4,2020,4,AST,ROBOS_FUERZA,1125.0,898.0,227.0
2021-Q1,2021,1,AST,ROBOS_FUERZA,229.0,,229.0
2021-Q2,2021,2,AST,ROBOS_FUERZA,518.0,229.0,289.0
2021-Q3,2021,3,AST,ROBOS_FUERZA,868.0,518.0,350.0
2021-Q4,2021,4,AST,ROBOS_FUERZA,1206.0,868.0,338.0
2022-Q1,2022,1,AST,ROBOS_FUERZA,313.0,,313.0
2022-Q2,2022,2,AST,ROBOS_FUERZA,549.0,313.0,236.0
2022-Q3,2022,3,AST,ROBOS_FUERZA,817.0,549.0,268.0
2022-Q4,2022,4,AST,ROBOS_FUERZA,1191.0,817.0,374.0
2023-Q1,2023,1,AST,ROBOS_FUERZA,384.0,,384.0
2023-Q2,2023,2,AST,ROBOS_FUERZA,705.0,384.0,321.0
2023-Q3,2023,3,AST,ROBOS_FUERZA,1096.0,705.0,391.0
2023-Q4,2023,4,AST,ROBOS_FUERZA,1574.0,1096.0,478.0
2024-Q1,2024,1,AST,ROBOS_FUERZA,351.0,,351.0
2024-Q2,2024,2,AST,ROBOS_FUERZA,661.0,351.0,310.0
2024-Q3,2024,3,AST,ROBOS_FUERZA,952.0,661.0,291.0
2024-Q4,2024,4,AST,ROBOS_FUERZA,1311.0,952.0,359.0
2025-Q1,2025,1,AST,ROBOS_FUERZA,322.0,,322.0
2025-Q2,2025,2,AST,ROBOS_FUERZA,640.0,322.0,318.0
2025-Q3,2025,3,AST,ROBOS_FUERZA,1029.0,640.0,389.0
2016-Q1,2016,1,BAL,HURTOS,3552.0,,3552.0
2016-Q2,2016,2,BAL,HURTOS,11342.0,3552.0,7790.0
2016-Q3,2016,3,BAL,HURTOS,22920.0,11342.0,11578.0
2016-Q4,2016,4,BAL,HURTOS,27935.0,22920.0,5015.0
2017-Q1,2017,1,BAL,HURTOS,3620.0,,3620.0
2017-Q2,2017,2,BAL,HURTOS,11184.0,3620.0,7564.0
2017-Q3,2017,3,BAL,HURTOS,23835.0,11184.0,12651.0
2017-Q4,2017,4,BAL,HURTOS,29183.0,23835.0,5348.0
2018-Q1,2018,1,BAL,HURTOS,3638.0,,3638.0
2018-Q2,2018,2,BAL,HURTOS,11016.0,3638.0,7378.0
2018-Q3,2018,3,BAL,HURTOS,21675.0,11016.0,10659.0
2018-Q4,2018,4,BAL,HURTOS,27502.0,21675.0,5827.0
2019-Q1,2019,1,BAL,HURTOS,3848.0,,3848.0
2019-Q2,2019,2,BAL,HURTOS,11144.0,3848.0,7296.0
2019-Q3,2019,3,BAL,HURTOS,21222.0,11144.0,10078.0
2019-Q4,2019,4,BAL,HURTOS,26408.0,21222.0,5186.0
2020-Q1,2020,1,BAL,HURTOS,2998.0,,2998.0
2020-Q2,2020,2,BAL,HURTOS,4543.0,2998.0,1545.0
2020-Q3,2020,3,BAL,HURTOS,9515.0,4543.0,4972.0
2020-Q4,2020,4,BAL,HURTOS,12483.0,9515.0,2968.0
2021-Q1,2021,1,BAL,HURTOS,2224.0,,2224.0
2021-Q2,2021,2,BAL,HURTOS,5951.0,2224.0,3727.0
2021-Q3,2021,3,BAL,HURTOS,12651.0,5951.0,6700.0
2021-Q4,2021,4,BAL,HURTOS,16433.0,12651.0,3782.0
2022-Q1,2022,1,BAL,HURTOS,3173.0,,3173.0
2022-Q2,2022,2,BAL,HURTOS,9922.0,3173.0,6749.0
2022-Q3,2022,3,BAL,HURTOS,19964.0,9922.0,10042.0
2022-Q4,2022,4,BAL,HURTOS,24462.0,19964.0,4498.0
2023-Q1,2023,1,BAL,HURTOS,3673.0,,3673.0
2023-Q2,2023,2,BAL,HURTOS,9721.0,3673.0,6048.0
2023-Q3,2023,3,BAL,HURTOS,18495.0,9721.0,8774.0
2023-Q4,2023,4,BAL,HURTOS,23009.0,18495.0,4514.0
2024-Q1,2024,1,BAL,HURTOS,3399.0,,3399.0
2024-Q2,2024,2,BAL,HURTOS,10207.0,3399.0,6808.0
2024-Q3,2024,3,BAL,HURTOS,19577.0,10207.0,9370.0
2024-Q4,2024,4,BAL,HURTOS,24310.0,19577.0,4733.0
2025-Q1,2025,1,BAL,HURTOS,3720.0,,3720.0
2025-Q2,2025,2,BAL,HURTOS,10854.0,3720.0,7134.0
2025-Q3,2025,3,BAL,HURTOS,22024.0,10854.0,11170.0
2017-Q1,2017,1,BAL,ROBOS_FUERZA,811.0,,811.0
2017-Q2,2017,2,BAL,ROBOS_FUERZA,1701.0,811.0,890.0
2017-Q3,2017,3,BAL,ROBOS_FUERZA,3115.0,1701.0,1414.0
2017-Q4,2017,4,BAL,ROBOS_FUERZA,4281.0,3115.0,1166.0
2018-Q1,2018,1,BAL,ROBOS_FUERZA,1044.0,,1044.0
2018-Q2,2018,2,BAL,ROBOS_FUERZA,1972.0,1044.0,928.0
2018-Q3,2018,3,BAL,ROBOS_FUERZA,3109.0,1972.0,1137.0
2018-Q4,2018,4,BAL,ROBOS_FUERZA,4080.0,3109.0,971.0
2019-Q1,2019,1,BAL,ROBOS_FUERZA,901.0,,901.0
2019-Q2,2019,2,BAL,ROBOS_FUERZA,1764.0,901.0,863.0
2019-Q3,2019,3,BAL,ROBOS_FUERZA,2737.0,1764.0,973.0
2019-Q4,2019,4,BAL,ROBOS_FUERZA,3571.0,2737.0,834.0
2020-Q1,2020,1,BAL,ROBOS_FUERZA,683.0,,683.0
2020-Q2,2020,2,BAL,ROBOS_FUERZA,1130.0,683.0,447.0
2020-Q3,2020,3,BAL,ROBOS_FUERZA,1881.0,1130.0,751.0
2020-Q4,2020,4,BAL,ROBOS_FUERZA,2582.0,1881.0,701.0
2021-Q1,2021,1,BAL,ROBOS_FUERZA,589.0,,589.0
2021-Q2,2021,2,BAL,ROBOS_FUERZA,1183.0,589.0,594.0
2021-Q3,2021,3,BAL,ROBOS_FUERZA,1889.0,1183.0,706.0
2021-Q4,2021,4,BAL,ROBOS_FUERZA,2659.0,1889.0,770.0
2022-Q1,2022,1,BAL,ROBOS_FUERZA,590.0,,590.0
2022-Q2,2022,2,BAL,ROBOS_FUERZA,1294.0,590.0,704.0
2022-Q3,2022,3,BAL,ROBOS_FUERZA,2150.0,1294.0,856.0
2022-Q4,2022,4,BAL,ROBOS_FUERZA,2890.0,2150.0,740.0
2023-Q1,2023,1,BAL,ROBOS_FUERZA,620.0,,620.0
2023-Q2,2023,2,BAL,ROBOS_FUERZA,1253.0,620.0,633.0
2023-Q3,2023,3,BAL,ROBOS_FUERZA,1968.0,1253.0,715.0
2023-Q4,2023,4,BAL,ROBOS_FUERZA,2676.0,1968.0,708.0
2024-Q1,2024,1,BAL,ROBOS_FUERZA,675.0,,675.0
2024-Q2,2024,2,BAL,ROBOS_FUERZA,1268.0,675.0,593.0
2024-Q3,2024,3,BAL,ROBOS_FUERZA,2124.0,1268.0,856.0
2024-Q4,2024,4,BAL,ROBOS_FUERZA,2829.0,2124.0,705.0
2025-Q1,2025,1,BAL,ROBOS_FUERZA,613.0,,613.0
2025-Q2,2025,2,BAL,ROBOS_FUERZA,1178.0,613.0,565.0
2025-Q3,2025,3,BAL,ROBOS_FUERZA,1865.0,1178.0,687.0
2016-Q1,2016,1,CAN,HURTOS,8983.0,,8983.0
2016-Q2,2016,2,CAN,HURTOS,15742.0,8983.0,6759.0
2016-Q3,2016,3,CAN,HURTOS,23286.0,15742.0,7544.0
2016-Q4,2016,4,CAN,HURTOS,30994.0,23286.0,7708.0
2017-Q1,2017,1,CAN,HURTOS,9331.0,,9331.0
2017-Q2,2017,2,CAN,HURTOS,15985.0,9331.0,6654.0
2017-Q3,2017,3,CAN,HURTOS,22817.0,15985.0,6832.0
2017-Q4,2017,4,CAN,HURTOS,30127.0,22817.0,7310.0
2018-Q1,2018,1,CAN,HURTOS,8441.0,,8441.0
2018-Q2,2018,2,CAN,HURTOS,14291.0,8441.0,5850.0
2018-Q3,2018,3,CAN,HURTOS,20583.0,14291.0,6292.0
2018-Q4,2018,4,CAN,HURTOS,27277.0,20583.0,6694.0
2019-Q1,2019,1,CAN,HURTOS,7438.0,,7438.0
2019-Q2,2019,2,CAN,HURTOS,13058.0,7438.0,5620.0
2019-Q3,2019,3,CAN,HURTOS,19372.0,13058.0,6314.0
2019-Q4,2019,4,CAN,HURTOS,26146.0,19372.0,6774.0
2020-Q1,2020,1,CAN,HURTOS,6694.0,,6694.0
2020-Q2,2020,2,CAN,HURTOS,8641.0,6694.0,1947.0
2020-Q3,2020,3,CAN,HURTOS,12765.0,8641.0,4124.0
2020-Q4,2020,4,CAN,HURTOS,16716.0,12765.0,3951.0
2021-Q1,2021,1,CAN,HURTOS,3730.0,,3730.0
2021-Q2,2021,2,CAN,HURTOS,7604.0,3730.0,3874.0
2021-Q3,2021,3,CAN,HURTOS,11939.0,7604.0,4335.0
2021-Q4,2021,4,CAN,HURTOS,17144.0,11939.0,5205.0
2022-Q1,2022,1,CAN,HURTOS,6336.0,,6336.0
2022-Q2,2022,2,CAN,HURTOS,11870.0,6336.0,5534.0
2022-Q3,2022,3,CAN,HURTOS,17493.0,11870.0,5623.0
2022-Q4,2022,4,CAN,HURTOS,23630.0,17493.0,6137.0
2023-Q1,2023,1,CAN,HURTOS,7373.0,,7373.0
2023-Q2,2023,2,CAN,HURTOS,13183.0,7373.0,5810.0
2023-Q3,2023,3,CAN,HURTOS,19400.0,13183.0,6217.0
2023-Q4,2023,4,CAN,HURTOS,26258.0,19400.0,6858.0
2024-Q1,2024,1,CAN,HURTOS,8656.0,,8656.0
2024-Q2,2024,2,CAN,HURTOS,14848.0,8656.0,6192.0
2024-Q3,2024,3,CAN,HURTOS,21171.0,14848.0,6323.0
2024-Q4,2024,4,CAN,HURTOS,28445.0,21171.0,7274.0
2025-Q1,2025,1,CAN,HURTOS,8215.0,,8215.0
2025-Q2,2025,2,CAN,HURTOS,14914.0,8215.0,6699.0
2025-Q3,2025,3,CAN,HURTOS,21889.0,14914.0,6975.0
2017-Q1,2017,1,CAN,ROBOS_FUERZA,1461.0,,1461.0
2017-Q2,2017,2,CAN,ROBOS_FUERZA,2829.0,1461.0,1368.0
2017-Q3,2017,3,CAN,ROBOS_FUERZA,4178.0,2829.0,1349.0
2017-Q4,2017,4,CAN,ROBOS_FUERZA,5347.0,4178.0,1169.0
2018-Q1,2018,1,CAN,ROBOS_FUERZA,1496.0,,1496.0
2018-Q2,2018,2,CAN,ROBOS_FUERZA,2702.0,1496.0,1206.0
2018-Q3,2018,3,CAN,ROBOS_FUERZA,3904.0,2702.0,1202.0
2018-Q4,2018,4,CAN,ROBOS_FUERZA,5012.0,3904.0,1108.0
2019-Q1,2019,1,CAN,ROBOS_FUERZA,1009.0,,1009.0
2019-Q2,2019,2,CAN,ROBOS_FUERZA,2085.0,1009.0,1076.0
2019-Q3,2019,3,CAN,ROBOS_FUERZA,3101.0,2085.0,1016.0
2019-Q4,2019,4,CAN,ROBOS_FUERZA,4310.0,3101.0,1209.0
2020-Q1,2020,1,CAN,ROBOS_FUERZA,1037.0,,1037.0
2020-Q2,2020,2,CAN,ROBOS_FUERZA,1683.0,1037.0,646.0
2020-Q3,2020,3,CAN,ROBOS_FUERZA,2643.0,1683.0,960.0
2020-Q4,2020,4,CAN,ROBOS_FUERZA,3488.0,2643.0,845.0
2021-Q1,2021,1,CAN,ROBOS_FUERZA,919.0,,919.0
2021-Q2,2021,2,CAN,ROBOS_FUERZA,1658.0,919.0,739.0
2021-Q3,2021,3,CAN,ROBOS_FUERZA,2553.0,1658.0,895.0
2021-Q4,2021,4,CAN,ROBOS_FUERZA,3423.0,2553.0,870.0
2022-Q1,2022,1,CAN,ROBOS_FUERZA,859.0,,859.0
2022-Q2,2022,2,CAN,ROBOS_FUERZA,1772.0,859.0,913.0
2022-Q3,2022,3,CAN,ROBOS_FUERZA,2727.0,1772.0,955.0
2022-Q4,2022,4,CAN,ROBOS_FUERZA,3655.0,2727.0,928.0
2023-Q1,2023,1,CAN,ROBOS_FUERZA,932.0,,932.0
2023-Q2,2023,2,CAN,ROBOS_FUERZA,1740.0,932.0,808.0
2023-Q3,2023,3,CAN,ROBOS_FUERZA,2582.0,1740.0,842.0
2023-Q4,2023,4,CAN,ROBOS_FUERZA,3374.0,2582.0,792.0
2024-Q1,2024,1,CAN,ROBOS_FUERZA,810.0,,810.0
2024-Q2,2024,2,CAN,ROBOS_FUERZA,1607.0,810.0,797.0
2024-Q3,2024,3,CAN,ROBOS_FUERZA,2262.0,1607.0,655.0
2024-Q4,2024,4,CAN,ROBOS_FUERZA,2942.0,2262.0,680.0
